id,name,price,quantity
1016,SPARK PLUG 4S Without Ferrul,165,11
1017,SPEEDO CABLE ASSY (NEW),315,83
1018,"FOAM COMP FILTER, AIR CLEANER",200,350
1019,CABLE ASSY CLUTCH (R),490,763
1020,SHIM 20X32X1.5,20,685
1021,DUST SEAL 28 X 42.70 X 8,45,255
1022,DAMPER ENGINE MTG FRONT,50,180
1023,GASKET COVER CRANK CASE-R,70,480
1024,SPEEDO CABLE INNER(New 1016mm),75,580
1025,BALL BEARING 20x42x12,265,85
1026,PIVOT PIN FRONT KIT,625,666
1027,CABLE ASSY  BLACK  GEARSHIFT,325,500
1028,CABLE ASSY WHITE  GEARSHIFT,320,450
1029,OILSEAL DIFFERENTIAL,135,180
1030,CABLE INNER CLUTCH,80,541
1031,STEERING CONE KIT TOP (Modified),465,96
